Measure Names,Servers,Year of Date,Measure Values
PhysWrite/Txn,1,2018,35.866034386
PhysRead/Txn,1,2018,338.268892334
PhysWrite/Txn,2,2018,267.854871017
PhysRead/Txn,2,2018,24.835346485
PhysWrite/Txn,3,2018,242.550008455
PhysRead/Txn,3,2018,69.760845547
PhysWrite/Txn,4,2018,237.028773957
PhysRead/Txn,4,2018,76.986113303
PhysWrite/Txn,5,2018,227.815888325
PhysRead/Txn,5,2018,95.545420192
PhysWrite/Txn,6,2018,239.472374506
PhysRead/Txn,6,2018,68.935321489
PhysWrite/Txn,7,2018,248.550442752
PhysRead/Txn,7,2018,42.920442752
PhysWrite/Txn,8,2018,260.560535815
PhysRead/Txn,8,2018,18.196703328
PhysWrite/Txn,9,2018,253.91610375
PhysRead/Txn,9,2018,23.852605018
PhysWrite/Txn,10,2018,75.675389171
PhysRead/Txn,10,2018,45.321508742
PhysWrite/Txn,11,2018,78.617743937
PhysRead/Txn,11,2018,25.90144388
PhysWrite/Txn,12,2018,79.628787366
PhysRead/Txn,12,2018,96.486161873
